('DeShawn Stevenson', '/players/s/stevede01.html')
('Wesley Matthews', '/players/m/matthwe02.html')
('Kenny Thomas', '/players/t/thomake01.html')
('Steve Kerr', '/players/k/kerrst01.html')
('Etan Thomas', '/players/t/thomaet01.html')
('Hasheem Thabeet', '/players/t/thabeha01.html')
('A.J. Hammons', '/players/h/hammoaj01.html')
('Earl Watson', '/players/w/watsoea01.html')
('Mark Bryant', '/players/b/bryanma01.html')
('Coby Karl', '/players/k/karlco01.html')
('Gordon Hayward', '/players/h/haywago01.html')
('Justin Hamilton', '/players/h/hamilju01.html')
('Glen Rice', '/players/r/ricegl02.html')
('Chris Webber', '/players/w/webbech01.html')
('Devin Robinson', '/players/r/robinde01.html')
('Tim Duncan', '/players/d/duncati01.html')
('Dan Majerle', '/players/m/majerda01.html')
('Luigi Datome', '/players/d/datomlu01.html')
('Roy Hibbert', '/players/h/hibbero01.html')
('Aleksandar Radojević', '/players/r/radojal01.html')
('Metta World Peace', '/players/a/artesro01.html')
('Greg Stiemsma', '/players/s/stiemgr01.html')
('Vlade Divac', '/players/d/divacvl01.html')
('Charles Jones', '/players/j/jonesch03.html')
('Zoran Dragić', '/players/d/dragizo01.html')
('Arinze Onuaku', '/players/o/onuakar01.html')
('Bobby Jones', '/players/j/jonesbo02.html')
('Bismack Biyombo', '/players/b/biyombi01.html')
('Ben Simmons', '/players/s/simmobe01.html')
('Jae Crowder', '/players/c/crowdja01.html')
('Ratko Varda', '/players/v/vardara01.html')
('Taurean Green', '/players/g/greenta01.html')
('Matt Freije', '/players/f/freijma01.html')
('Mike Batiste', '/players/b/batismi01.html')
('David Harrison', '/players/h/harrida01.html')
('Yi Jianlian', '/players/j/jianlyi01.html')
('Ryan Humphrey', '/players/h/humphry01.html')
('Dale Davis', '/players/d/davisda01.html')
('Hersey Hawkins', '/players/h/hawkihe01.html')
('Jarvis Varnado', '/players/v/varnaja01.html')
('Jordan Farmar', '/players/f/farmajo01.html')
('Lance Allred', '/players/a/allrela01.html')
('Victor Claver', '/players/c/clavevi01.html')
('Jerry Smith', '/players/s/smithje01.html')
('Wayne Simien', '/players/s/simiewa01.html')
('Jannero Pargo', '/players/p/pargoja01.html')
('Dell Curry', '/players/c/curryde01.html')
('Jeryl Sasser', '/players/s/sasseje01.html')
('Jabari Parker', '/players/p/parkeja01.html')
('Doug Christie', '/players/c/chrisdo01.html')
('Shaquille Harrison', '/players/h/harrish01.html')
('Mario West', '/players/w/westma02.html')
('Roko Ukić', '/players/u/ukicro01.html')
('Pierre Jackson', '/players/j/jackspi01.html')
('Billy Garrett', '/players/g/garrebi01.html')
('Kenny Satterfield', '/players/s/satteke01.html')
('Jason Kidd', '/players/k/kiddja01.html')
('Draymond Green', '/players/g/greendr01.html')
('Felton Spencer', '/players/s/spencfe01.html')
('Josh Smith', '/players/s/smithjo03.html')
('Keith Closs', '/players/c/closske01.html')
('Mark Madsen', '/players/m/madsema01.html')
('Joel Embiid', '/players/e/embiijo01.html')
('Awvee Storey', '/players/s/storeaw01.html')
('Jaron Blossomgame', '/players/b/blossja01.html')
('Trey Burke', '/players/b/burketr01.html')
('Martynas Andriuškevičius', '/players/a/andrima01.html')
('Blake Ahearn', '/players/a/ahearbl01.html')
('LeBron James', '/players/j/jamesle01.html')
('Malik Monk', '/players/m/monkma01.html')
('Rick Hughes', '/players/h/hugheri02.html')
('Jahidi White', '/players/w/whiteja01.html')
('Briante Weber', '/players/w/weberbr01.html')
('Kendall Marshall', '/players/m/marshke01.html')
('Aaron Williams', '/players/w/williaa01.html')
("Devonte' Graham", '/players/g/grahade01.html')
('Michael Redd', '/players/r/reddmi01.html')
('Antonis Fotsis', '/players/f/fotsian01.html')
('Mike Sweetney', '/players/s/sweetmi01.html')
('Jared Reiner', '/players/r/reineja01.html')
('Andre Dawkins', '/players/d/dawkian01.html')
('Paul Shirley', '/players/s/shirlpa01.html')
('Victor Oladipo', '/players/o/oladivi01.html')
('Andrew White', '/players/w/whitean01.html')
('Predrag Drobnjak', '/players/d/drobnpr01.html')
('Stephen Curry', '/players/c/curryst01.html')
('DeSagana Diop', '/players/d/diopde01.html')
('Othyus Jeffers', '/players/j/jeffeot01.html')
('Ish Smith', '/players/s/smithis01.html')
('Tariq Abdul-Wahad', '/players/a/abdulta01.html')
('Dajuan Wagner', '/players/w/wagneda02.html')
('Mike Miller', '/players/m/millemi01.html')
('Rex Chapman', '/players/c/chapmre01.html')
('J.R. Giddens', '/players/g/giddejr01.html')
('David Robinson', '/players/r/robinda01.html')
('Jermareo Davidson', '/players/d/davidje01.html')
('Alex Acker', '/players/a/ackeral01.html')
("Hamady N'Diaye", '/players/n/ndiayha01.html')
('Adam Morrison', '/players/m/morriad01.html')
('Bogdan Bogdanović', '/players/b/bogdabo01.html')
('Hilton Armstrong', '/players/a/armsthi01.html')
('Steven Smith', '/players/s/smithst03.html')
('Ivan McFarlin', '/players/m/mcfariv01.html')
('Gary Trent', '/players/t/trentga01.html')
('Donte DiVincenzo', '/players/d/divindo01.html')
('Bo Outlaw', '/players/o/outlabo01.html')
('Elie Okobo', '/players/o/okoboel01.html')
('Quincy Acy', '/players/a/acyqu01.html')
('Todd Day', '/players/d/dayto01.html')
('Nick Anderson', '/players/a/anderni01.html')
('Mohamed Bamba', '/players/b/bambamo01.html')
('Reggie Slater', '/players/s/slatere01.html')
('Luke Zeller', '/players/z/zellelu01.html')
('Devyn Marble', '/players/m/marblde01.html')
('Patrick Ewing', '/players/e/ewingpa01.html')
('Nikola Vučević', '/players/v/vucevni01.html')
('Jaren Jackson', '/players/j/jacksja01.html')
('Devin Green', '/players/g/greende01.html')
('Charles Barkley', '/players/b/barklch01.html')
('Eric Dawson', '/players/d/dawsoer01.html')
('R.J. Hunter', '/players/h/hunterj01.html')
('Milt Palacio', '/players/p/palacmi01.html')
('Dwayne Jones', '/players/j/jonesdw02.html')
('Kay Felder', '/players/f/feldeka01.html')
('Sebastian Telfair', '/players/t/telfase01.html')
('Ryan Broekhoff', '/players/b/broekry01.html')
('Derek Hood', '/players/h/hoodde01.html')
('Damion James', '/players/j/jamesda01.html')
('Billy Thomas', '/players/t/thomabi01.html')
('DaJuan Summers', '/players/s/summeda01.html')
('Óscar Torres', '/players/t/torreos01.html')
('Ron Baker', '/players/b/bakerro01.html')
('Ray McCallum', '/players/m/mccalra01.html')
('Raymond Felton', '/players/f/feltora01.html')
('Alex Kirk', '/players/k/kirkal01.html')
('Lavoy Allen', '/players/a/allenla01.html')
('Tyson Chandler', '/players/c/chandty01.html')
('Andrew Bogut', '/players/b/bogutan01.html')
('Ángel Delgado', '/players/d/delgaan01.html')
('Eric Bledsoe', '/players/b/bledser01.html')
('Garth Joseph', '/players/j/josepga01.html')
('Furkan Aldemir', '/players/a/aldemfu01.html')
('Tony Farmer', '/players/f/farmeto01.html')
('Kornél Dávid', '/players/d/davidko01.html')
('Eddie House', '/players/h/houseed01.html')
('David Wear', '/players/w/wearda01.html')
('Mike Hall', '/players/h/hallmi01.html')
